City,Airport,Airport Code,Latitude,Longitude
Tadoule Lake,Tadoule Lake Airport,XTL,58.708382,-98.507672
Tahsis,Tahsis Airport,ZTS,49.910715,-126.660549
Taloyoak,Taloyoak Airport,YYH,69.53333,-93.51667
Taltheilei Narrows,Taltheilei Narrows Airport,GSL,62.600756,-111.546291
Tasiujuaq,Tasiujuaq Airport,YTQ,58.66783,-69.9563529
Telegraph Creek,Telegraph Creek Airport,YTX,57.914436,-131.122552
Terrace,Terrace Airport,YXT,54.472626,-128.5791276
Terrace Bay,Terrace Bay Airport,YTJ,48.814076,-87.099517
Teslin,Teslin Airport,YZW,60.173262,-132.744221
Tete-a-La Baleine,Tete a La Baleine Airport,ZTB,50.674444,-59.383611
The Pas,Clearwater Airport,YQD,51.8243702,-120.034639
Thicket Portage,Thicket Portage Airport,YTD,55.319402,-97.707757
Thompson,Thompson Airport,YTH,55.802358,-97.856234
Thunder Bay,Thunder Bay Airport,YQT,48.3719491,-89.3118554
Timmins,Timmins Airport,YTS,48.5666083,-81.3721421
Tisdale sk,Tisdale Airport,YTT,52.836666,-104.066666
Tofino,Seaplane Base Airport,YTP,49.154444,-125.408056
Tofino,Tofino Airport,YAZ,49.082047,-125.776971
Toronto,Lester B Pearson International Airport,YYZ,43.681727,-79.612049
Trail,Trail Regional Airport,YZZ,49.0578259,-117.6073511
Trenton,Trenton Airport,YTR,44.1100008,-77.532815
Trois-Rivieres,Trois Rivieres Airport,YRQ,46.3623972,-72.6758477
Tuktoyaktuk,Tuktoyaktuk Airport,YUB,69.435561,-133.0220854
Tulita/Fort Norman,Tulita Airport,ZFN,64.909102,-125.567917
Tulugak,Tulugak Airport,YTK,59.5,-77.75
Tumbler Ridge,Tumbler Ridge Airport,TUX,55.1,-121.083336
Tungsten,Tungsten Airport,TNS,61.95,-128.266667
Umiujaq,Umiujaq Airport,YUD,56.536111,-76.518333
Uranium City,Uranium City Airport,YBE,59.562034,-108.478471
Valcartier,Valcartier Airport,YOY,46.9020221,-71.5042988
Val-dor,Aeroport Regional De Val dor Airport,YVO,48.053488,-77.783177
Vancouver,Coal Harbour Airport,CXH,49.289725,-123.1188708
Vermilion,Vermilion Airport,YVG,53.3574043,-110.8249224
Vernon,Vernon Regional Airport,YVE,50.2474739,-119.330999
Victoria,Victoria Inner Harbor Airport,YWH,48.4237653,-123.3710297
Victoria,Victoria International Airport,YYJ,48.640055,-123.429058
Wabush,Wabush Airport,YWK,52.9224109,-66.864476
Waskaganish,Waskaganish Airport,YKQ,51.473611,-78.758056
Watson Lake,Watson Lake Airport,YQH,60.058861,-128.675871
Wawa,Wawa Airport,YXZ,47.9744537,-84.7802651
Webequie,Webequie Airport,YWP,52.962098,-87.373893
Wemindji,Wemindji Airport,YNC,53.010833,-78.830278
Wha Ti/Lac La Martre,Wha Ti Airport,YLE,63.131667,-117.2475
Whale Cove,Whale Cove Airport,YXN,62.2369815,-92.5974994
Whistler,Whistler Airport,YWS,50.15,-122.966667
White River,White River Airport,YWR,48.583333,-85.25
Whitecourt,Whitecourt Airport,YZU,54.143483,-115.785312
Whitehorse Yukon,Whitehorse International Airport,YXY,60.7142758,-135.0758933
Wiarton,Wiarton Keppel Airport,YVV,44.7474809,-81.111538
Williams Harbour,Williams Harbour Airport,YWM,52.333333,-56
Williams Lake,Williams Lake Airport,YWL,52.1867619,-122.0675532
Windsor,Windsor Airport,YQG,42.2660214,-82.9601741
Winisk,Winisk Airport,YWN,55.25,-85.116667
Winnipeg,Winnipeg Airport,YWG,49.904033,-97.22588
Wollaston Lake,Wollaston Lake Airport,ZWL,58.106837,-103.172145
Wrigley,Wrigley Airport,YWY,63.210952,-123.440071
Wunnummin Lake,Wunnummin Lake Airport,WNN,52.893889,-89.289167
Yarmouth,Yarmouth Airport,YQI,43.8300234,-66.0879429
Yellowknife,Yellowknife Airport,YZF,62.47084,-114.4378528
York Landing,York Landing Airport,ZAC,56.090323,-96.090679
Yorkton,Yorkton Airport,YQV,51.264383,-102.4600619
